Local Government District 2014 Code,Local Government District 2014 Label,Irish (Ability) Code,Irish (Ability) Label,Sexual Orientation Code,Sexual Orientation Label,Count
N09000001,Antrim and Newtownabbey,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3716
N09000001,Antrim and Newtownabbey,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",94
N09000001,Antrim and Newtownabbey,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,236
N09000001,Antrim and Newtownabbey,2,Speaks but does not read or write Irish,1,Straight or heterosexual,1328
N09000001,Antrim and Newtownabbey,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",33
N09000001,Antrim and Newtownabbey,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,113
N09000001,Antrim and Newtownabbey,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,401
N09000001,Antrim and Newtownabbey,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",16
N09000001,Antrim and Newtownabbey,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,32
N09000001,Antrim and Newtownabbey,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,2339
N09000001,Antrim and Newtownabbey,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",79
N09000001,Antrim and Newtownabbey,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,156
N09000001,Antrim and Newtownabbey,5,Other combination of skills,1,Straight or heterosexual,609
N09000001,Antrim and Newtownabbey,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",40
N09000001,Antrim and Newtownabbey,5,Other combination of skills,3,Prefer not to say/Not stated,68
N09000001,Antrim and Newtownabbey,6,No ability in Irish,1,Straight or heterosexual,97814
N09000001,Antrim and Newtownabbey,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",2079
N09000001,Antrim and Newtownabbey,6,No ability in Irish,3,Prefer not to say/Not stated,7243
