Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Count
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1298
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,788
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1770
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,434
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,5,Cannot speak Irish,101916
N09000001,Antrim and Newtownabbey,1,Straight or heterosexual,-8,No code required,0
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,38
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,24
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,57
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,18
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2204
N09000001,Antrim and Newtownabbey,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000001,Antrim and Newtownabbey,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,102
N09000001,Antrim and Newtownabbey,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,59
N09000001,Antrim and Newtownabbey,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,130
N09000001,Antrim and Newtownabbey,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,37
N09000001,Antrim and Newtownabbey,3,Prefer not to say/Not stated,5,Cannot speak Irish,7520
N09000001,Antrim and Newtownabbey,3,Prefer not to say/Not stated,-8,No code required,0
N09000001,Antrim and Newtownabbey,-8,No code required,1,Can speak Irish: Speaks Irish daily,619
N09000001,Antrim and Newtownabbey,-8,No code required,2,Can speak Irish: Speaks Irish weekly,413
N09000001,Antrim and Newtownabbey,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,199
N09000001,Antrim and Newtownabbey,-8,No code required,4,Can speak Irish: Never speaks Irish,26
N09000001,Antrim and Newtownabbey,-8,No code required,5,Cannot speak Irish,23119
N09000001,Antrim and Newtownabbey,-8,No code required,-8,No code required,4890
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2857
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1761
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,4147
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,899
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,5,Cannot speak Irish,144595
N09000002,"Armagh City, Banbridge and Craigavon",1,Straight or heterosexual,-8,No code required,0
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,72
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,41
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,108
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,14
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2262
N09000002,"Armagh City, Banbridge and Craigavon",2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000002,"Armagh City, Banbridge and Craigavon",3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,300
N09000002,"Armagh City, Banbridge and Craigavon",3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,135
N09000002,"Armagh City, Banbridge and Craigavon",3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,370
